product_name,brand,price_czk,discounted_price_czk,is_discounted,discount_pct,url,competitor,scraped_at
AEVOR Rollpack Proof ,Aevor,2959.0,,False,,https://www.queens.cz/cs/batohy/191800-aevor-rollpack-proof-black.html,queens,2026-04-08T01:17:56.276650+00:00
AEVOR Sacoche Bag ,Aevor,990.0,,False,,https://www.queens.cz/cs/tasky-pres-rameno/191836-aevor-sacoche-bag-ripstop-sundown.html,queens,2026-04-08T01:17:56.276650+00:00
AEVOR Trip Pack Proof ,Aevor,3499.0,,False,,https://www.queens.cz/cs/batohy/97640-aevor-trip-pack-proof-black.html,queens,2026-04-08T01:17:56.276650+00:00
AEVOR Frontpack,Aevor,759.0,,False,,https://www.queens.cz/cs/ledvinky/325534-aevor-frontpack-ripstop-black.html,queens,2026-04-08T01:17:56.276650+00:00
AEVOR Sacoche Bag ,Aevor,1150.0,,False,,https://www.queens.cz/cs/tasky-pres-rameno/191827-aevor-sacoche-bag-diamond-scorpion.html,queens,2026-04-08T01:17:56.276650+00:00
AEVOR Sacoche Bag ,Aevor,990.0,,False,,https://www.queens.cz/cs/tasky-pres-rameno/191833-aevor-sacoche-bag-ripstop-black.html,queens,2026-04-08T01:17:56.276650+00:00
AEVOR Daypack Proof Backpack ,Aevor,2830.0,,False,,https://www.queens.cz/cs/batohy/110437-aevor-daypack-proof-backpack-proof-black.html,queens,2026-04-08T01:17:56.276650+00:00
Birkenstock Arizona Eva,Birkenstock,1350.0,,False,,https://www.queens.cz/cs/damske-tenisky-a-boty/80796-birkenstock-arizona-eva-black.html,queens,2026-04-08T01:18:06.272967+00:00
Birkenstock Arizona Big Buckle Birkibuc Women,Birkenstock,2959.0,,False,,https://www.queens.cz/cs/damske-tenisky-a-boty/471586-birkenstock-arizona-big-buckle-birkibuc-women-mocca.html,queens,2026-04-08T01:18:06.272967+00:00
Birkenstock Boston Soft Footbed Velvet Leather,Birkenstock,3999.0,,False,,https://www.queens.cz/cs/panske-tenisky-a-boty/171904-birkenstock-boston-soft-footbed-velvet-leather-taupe.html,queens,2026-04-08T01:18:06.272967+00:00
