brand,name,original_price,current_price,url,competitor
Sony,WH-1000XM5,8999.0,8999.0,https://www.freshlabels.cz/en/products/sony-wh-1000xm5-son009k/,nila
Herschel Supply,Hank Wallet,990.0,790.0,https://www.freshlabels.cz/en/products/herschel-supply-hank-wallet-he3949/,nila
GUPPYFRIEND,Cleaning Cloths,390.0,310.0,https://www.freshlabels.cz/en/products/guppyfriend-cleaning-cloths-gf004/,nila
GUPPYFRIEND,Luffa Sponges,350.0,350.0,https://www.freshlabels.cz/en/products/guppyfriend-luffa-sponges-gf002/,nila
FREITAG,F255 Parker,2090.0,2090.0,https://www.freshlabels.cz/en/products/freitag-f255-parker-fri17999/,nila
Sony,WF-1000XM5,6999.0,6999.0,https://www.freshlabels.cz/en/products/sony-wf-1000xm5-son003k/,nila
Sony,WF-1000XM5,6999.0,6999.0,https://www.freshlabels.cz/en/products/sony-wf-1000xm5-son002k/,nila
Sony,WF-1000XM5,6999.0,6999.0,https://www.freshlabels.cz/en/products/sony-wf-1000xm5-son001k/,nila
PrintWorks,Photo Album Vanity Fair - March 1927 Cover,1390.0,1390.0,https://www.freshlabels.cz/en/products/printworks-photo-album-vanity-fair-march-1927-cover-pnt051/,nila
PrintWorks,Photo Corners,250.0,210.0,https://www.freshlabels.cz/en/products/printworks-photo-corners-pnt036/,nila
Forét,Balaclava,1990.0,1690.0,https://www.freshlabels.cz/en/products/foret-balaclava-fo170/,nila
Herschel Supply,Scout Globe Tripping Cap,990.0,690.0,https://www.freshlabels.cz/en/products/herschel-supply-scout-globe-tripping-cap-he3962/,nila
Komono,Malick,1690.0,1690.0,https://www.freshlabels.cz/en/products/komono-malick-km1905/,nila
KAVU,Fleece Strapcap,1390.0,970.0,https://www.freshlabels.cz/en/products/kavu-fleece-strapcap-ka084/,nila
PBG,Card Holder,1590.0,1590.0,https://www.freshlabels.cz/en/products/pbg-card-holder-pb058k/,nila
Herschel Supply,Watch Cap Station Beanie,990.0,690.0,https://www.freshlabels.cz/en/products/herschel-supply-watch-cap-station-beanie-he3963/,nila
Komono,Vita,1690.0,1350.0,https://www.freshlabels.cz/en/products/komono-vita-km1898/,nila
Patagonia,Cracked (hardcover),850.0,420.0,https://www.freshlabels.cz/en/products/patagonia-cracked-hardcover-pg1995/,nila
Komono,Avery,1690.0,1690.0,https://www.freshlabels.cz/en/products/komono-avery-km1908/,nila
Komono,Jeff,3290.0,3290.0,https://www.freshlabels.cz/en/products/komono-jeff-km1974/,nila
ECOALF,Wool Scarf,2290.0,1830.0,https://www.freshlabels.cz/en/products/ecoalf-wool-scarf-eco119/,nila
Sony,Bluetooth WH-CH520,1290.0,1290.0,https://www.freshlabels.cz/en/products/sony-bluetooth-wh-ch520-son024k/,nila
Carhartt WIP,Heart Patch Trucker Cap,1190.0,600.0,https://www.freshlabels.cz/en/products/carhartt-wip-heart-patch-trucker-cap-c4477/,nila
Sony,Bluetooth WH-CH520,1290.0,1290.0,https://www.freshlabels.cz/en/products/sony-bluetooth-wh-ch520-son027k/,nila
Sony,Bluetooth WH-CH520,1290.0,1290.0,https://www.freshlabels.cz/en/products/sony-bluetooth-wh-ch520-son028k/,nila
Komono,Danny,3290.0,3290.0,https://www.freshlabels.cz/en/products/komono-danny-km1594/,nila
Komono,Ripley,1990.0,1590.0,https://www.freshlabels.cz/en/products/komono-ripley-km2003/,nila
Komono,Ripley,1990.0,1690.0,https://www.freshlabels.cz/en/products/komono-ripley-km2004/,nila
Patagonia,Airfarer Cap,990.0,690.0,https://www.freshlabels.cz/en/products/patagonia-airfarer-cap-pg2612/,nila
Carhartt WIP,Heart Patch Trucker Cap,1190.0,890.0,https://www.freshlabels.cz/en/products/carhartt-wip-heart-patch-trucker-cap-c4476/,nila
Patagonia,P-6 Label Trad Cap,990.0,590.0,https://www.freshlabels.cz/en/products/patagonia-p-6-label-trad-cap-pg2395/,nila
Komono,Bob,3290.0,3290.0,https://www.freshlabels.cz/en/products/komono-bob-km1743/,nila
Komono,Rex,3990.0,3390.0,https://www.freshlabels.cz/en/products/komono-rex-km2011/,nila
Komono,Moe,3990.0,3190.0,https://www.freshlabels.cz/en/products/komono-moe-km2012/,nila
Komono,Ivy,3490.0,2970.0,https://www.freshlabels.cz/en/products/komono-ivy-km2014/,nila
Carhartt WIP,Sandwich Trucker Cap,1190.0,600.0,https://www.freshlabels.cz/en/products/carhartt-wip-sandwich-trucker-cap-c4486/,nila
Carhartt WIP,Graphic Trucker Cap,1390.0,700.0,https://www.freshlabels.cz/en/products/carhartt-wip-graphic-trucker-cap-c4326/,nila
Carhartt WIP,Madison Logo Cap,990.0,740.0,https://www.freshlabels.cz/en/products/carhartt-wip-madison-logo-cap-c4239/,nila
