brand,name,original_price,current_price,url,competitor
Sony,WH-1000XM5,8999.0,8999.0,https://www.freshlabels.cz/en/products/sony-wh-1000xm5-son009k/,queens
Herschel Supply,Hank Wallet,990.0,790.0,https://www.freshlabels.cz/en/products/herschel-supply-hank-wallet-he3949/,queens
GUPPYFRIEND,Cleaning Cloths,390.0,310.0,https://www.freshlabels.cz/en/products/guppyfriend-cleaning-cloths-gf004/,queens
GUPPYFRIEND,Luffa Sponges,350.0,350.0,https://www.freshlabels.cz/en/products/guppyfriend-luffa-sponges-gf002/,queens
FREITAG,F255 Parker,2090.0,2090.0,https://www.freshlabels.cz/en/products/freitag-f255-parker-fri17999/,queens
Sony,WF-1000XM5,6999.0,6999.0,https://www.freshlabels.cz/en/products/sony-wf-1000xm5-son003k/,queens
Sony,WF-1000XM5,6999.0,6999.0,https://www.freshlabels.cz/en/products/sony-wf-1000xm5-son002k/,queens
Sony,WF-1000XM5,6999.0,6999.0,https://www.freshlabels.cz/en/products/sony-wf-1000xm5-son001k/,queens
PrintWorks,Photo Album Vanity Fair - March 1927 Cover,1390.0,1390.0,https://www.freshlabels.cz/en/products/printworks-photo-album-vanity-fair-march-1927-cover-pnt051/,queens
PrintWorks,Photo Corners,250.0,210.0,https://www.freshlabels.cz/en/products/printworks-photo-corners-pnt036/,queens
Forét,Balaclava,1990.0,1690.0,https://www.freshlabels.cz/en/products/foret-balaclava-fo170/,queens
PrintWorks,Photo Album - A Cat's Life,1390.0,1110.0,https://www.freshlabels.cz/en/products/printworks-photo-album-a-cats-life-pnt045/,queens
Herschel Supply,Scout Globe Tripping Cap,990.0,690.0,https://www.freshlabels.cz/en/products/herschel-supply-scout-globe-tripping-cap-he3962/,queens
Komono,Malick,1690.0,1690.0,https://www.freshlabels.cz/en/products/komono-malick-km1905/,queens
KAVU,Fleece Strapcap,1390.0,970.0,https://www.freshlabels.cz/en/products/kavu-fleece-strapcap-ka084/,queens
PBG,Card Holder,1590.0,1590.0,https://www.freshlabels.cz/en/products/pbg-card-holder-pb058k/,queens
Herschel Supply,Watch Cap Station Beanie,990.0,690.0,https://www.freshlabels.cz/en/products/herschel-supply-watch-cap-station-beanie-he3963/,queens
Komono,Vita,1690.0,1350.0,https://www.freshlabels.cz/en/products/komono-vita-km1898/,queens
Patagonia,Cracked (hardcover),850.0,420.0,https://www.freshlabels.cz/en/products/patagonia-cracked-hardcover-pg1995/,queens
Komono,Avery,1690.0,1690.0,https://www.freshlabels.cz/en/products/komono-avery-km1908/,queens
Komono,Jeff,3290.0,3290.0,https://www.freshlabels.cz/en/products/komono-jeff-km1974/,queens
ECOALF,Wool Scarf,2290.0,1830.0,https://www.freshlabels.cz/en/products/ecoalf-wool-scarf-eco119/,queens
Sony,Bluetooth WH-CH520,1290.0,1290.0,https://www.freshlabels.cz/en/products/sony-bluetooth-wh-ch520-son024k/,queens
Carhartt WIP,Heart Patch Trucker Cap,1190.0,600.0,https://www.freshlabels.cz/en/products/carhartt-wip-heart-patch-trucker-cap-c4477/,queens
Sony,Bluetooth WH-CH520,1290.0,1290.0,https://www.freshlabels.cz/en/products/sony-bluetooth-wh-ch520-son027k/,queens
Sony,Bluetooth WH-CH520,1290.0,1290.0,https://www.freshlabels.cz/en/products/sony-bluetooth-wh-ch520-son028k/,queens
Komono,Danny,3290.0,3290.0,https://www.freshlabels.cz/en/products/komono-danny-km1594/,queens
Komono,Ripley,1990.0,1590.0,https://www.freshlabels.cz/en/products/komono-ripley-km2003/,queens
Komono,Ripley,1990.0,1690.0,https://www.freshlabels.cz/en/products/komono-ripley-km2004/,queens
Patagonia,Airfarer Cap,990.0,690.0,https://www.freshlabels.cz/en/products/patagonia-airfarer-cap-pg2612/,queens
Carhartt WIP,Heart Patch Trucker Cap,1190.0,890.0,https://www.freshlabels.cz/en/products/carhartt-wip-heart-patch-trucker-cap-c4476/,queens
Patagonia,P-6 Label Trad Cap,990.0,590.0,https://www.freshlabels.cz/en/products/patagonia-p-6-label-trad-cap-pg2395/,queens
Komono,Bob,3290.0,3290.0,https://www.freshlabels.cz/en/products/komono-bob-km1743/,queens
Komono,Rex,3990.0,3390.0,https://www.freshlabels.cz/en/products/komono-rex-km2011/,queens
Komono,Moe,3990.0,3190.0,https://www.freshlabels.cz/en/products/komono-moe-km2012/,queens
Komono,Ivy,3490.0,2970.0,https://www.freshlabels.cz/en/products/komono-ivy-km2014/,queens
Carhartt WIP,Sandwich Trucker Cap,1190.0,600.0,https://www.freshlabels.cz/en/products/carhartt-wip-sandwich-trucker-cap-c4486/,queens
Carhartt WIP,Graphic Trucker Cap,1390.0,700.0,https://www.freshlabels.cz/en/products/carhartt-wip-graphic-trucker-cap-c4326/,queens
Carhartt WIP,Madison Logo Cap,990.0,740.0,https://www.freshlabels.cz/en/products/carhartt-wip-madison-logo-cap-c4239/,queens
In August Company,Small Ramen Bowl Wavy drawing,1090.0,1090.0,https://www.freshlabels.cz/en/products/in-august-company-small-ramen-bowl-wavy-drawing-ina007/,queens
In August Company,Painted Face Cup - Black w/cheeks,1090.0,1090.0,https://www.freshlabels.cz/en/products/in-august-company-painted-face-cup-black-wcheeks-ina011/,queens
Ölend,Padded Scrunchy,490.0,390.0,https://www.freshlabels.cz/en/products/olend-padded-scrunchy-ole044/,queens
AOMU,Čichová terapie - sada tří inhalačních tyčinek pro posílení čichu,599.0,510.0,https://www.freshlabels.cz/en/products/aomu-cichova-terapie-sada-tri-inhalacnich-tycinek-pro-posileni-cichu-ao014/,queens
AOMU,Směs do difuzéru Intimity,399.0,340.0,https://www.freshlabels.cz/en/products/aomu-smes-do-difuzeru-intimity-ao013/,queens
FREITAG,F258 Werler,2990.0,2990.0,https://www.freshlabels.cz/en/products/freitag-f258-werler-fri128496/,queens
Komono,Alpha,1990.0,1590.0,https://www.freshlabels.cz/en/products/komono-alpha-km2006/,queens
Sony,WH-1000XM5,8999.0,8999.0,https://www.freshlabels.cz/en/products/sony-wh-1000xm5-son010k/,queens
Sony,WH-1000XM5,8999.0,8999.0,https://www.freshlabels.cz/en/products/sony-wh-1000xm5-son011k/,queens
Carhartt WIP,Underground Trucker Cap,1250.0,940.0,https://www.freshlabels.cz/en/products/carhartt-wip-underground-trucker-cap-c4325/,queens
AOMU,Směs do difuzéru Energy,399.0,320.0,https://www.freshlabels.cz/en/products/aomu-smes-do-difuzeru-energy-ao010/,queens
So.Slow,Clove,490.0,490.0,https://www.freshlabels.cz/en/products/soslow-clove-sos030k/,queens
Montura,Cloud Cap,990.0,690.0,https://www.freshlabels.cz/en/products/montura-cloud-cap-mon032/,queens
Armedangels,Yenaas Bold,990.0,590.0,https://www.freshlabels.cz/en/products/armedangels-yenaas-bold-aa1199/,queens
Montura,Brand Cap,990.0,690.0,https://www.freshlabels.cz/en/products/montura-brand-cap-mon029/,queens
