product_name,brand,scraped_brand,price_czk,discounted_price_czk,is_discounted,discount_pct,url,competitor,scraped_at
DETROIT - Lehká bunda - black,Carhartt WIP,Carhartt WIP,,,False,,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
CHASE - Jednoduché tričko - leaf/gold-coloured,Carhartt WIP,Carhartt WIP,990.0,891.0,True,10.0,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
ESSENTIALS BAG SMALL UNISEX - Taška s příčným popruhem - black,Carhartt WIP,Carhartt WIP,,,False,,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
SOFT FLASK 500ML/17OZ UNISEX - Sportovní lahev - clear blue,Salomon,Salomon,,,False,,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
CLIP BELT CHROME UNISEX - Pásek - black,Carhartt WIP,Carhartt WIP,,,False,,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
DETROIT - Lehká bunda - hamilton brown/tobacco rinsed,Carhartt WIP,Carhartt WIP,,,False,,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
BASE  - Jednoduché tričko - white,Carhartt WIP,Carhartt WIP,,,False,,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
P-6 LOGO RESPONSIBILI-TEE - Triko s potiskem - white,Patagonia,Patagonia,,,False,,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
Polotričko - delray blue,Carhartt WIP,Carhartt WIP,,,False,,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
MALDEN SHIRT - Košile - blue,Carhartt WIP,Carhartt WIP,2380.0,1793.0,True,24.7,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
BRANDON PANT SMITH - Baggy džíny - blue  worn used wash,Carhartt WIP,Carhartt WIP,3390.0,3051.0,True,10.0,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
DETROIT JACKET - Džínová bunda - blue/dusty brown,Carhartt WIP,Carhartt WIP,,,False,,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
