web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,image,image2,image3
"1775785555-1","https://www.zalando.cz/zeny/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=zeny+vsechno","","Carhartt WIP","HOODED HELIX JACKET - Fleecová bunda - black/porphyry","1 912,00 Kč","2 380,00 Kč","-20%","","heart_outlined","","","Výhodná Nabídka","Standardní cena:","","","https://img01.ztat.net/article/spp-media-p1/069de8f3f07a48fabdf0490f413fa63e/1190f10b83c247a2ac581c208957894b.jpg?imwidth=500",""
"1775785555-2","https://www.zalando.cz/zeny/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=zeny+vsechno","","Carhartt WIP","ESSENTIALS BAG SMALL UNISEX - Taška s příčným popruhem - black","1 250,00 Kč","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/bd19d9ae87c04f4aab52bb9adad9b415/a77b31d845e149358ed1ac40e7be65f4.jpg?imwidth=500&filter=packshot",""
"1775785555-3","https://www.zalando.cz/zeny/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=zeny+vsechno","","Salomon","SOFT FLASK 500ML/17OZ UNISEX - Sportovní lahev - clear blue","590,00 Kč","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/983a798566f540d0a4bb6800e23d352c/a46fbbcb990a41aaa56dad6c480a51f3.jpg?imwidth=500&filter=packshot",""
"1775785555-4","https://www.zalando.cz/zeny/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=zeny+vsechno","","Carhartt WIP","CLIP BELT CHROME UNISEX - Pásek - black","950,00 Kč","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/089fd2782baa4a5999d0340eca51d249/27262520a2e543fcac9d313db684a7f2.jpg?imwidth=500&filter=packshot",""
"1775785555-5","https://www.zalando.cz/zeny/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=zeny+vsechno","","Salomon","EVERYDAY CREW UNISEX 3 PACK  - Ponožky - black","290,00 Kč","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/c8b70730f86d4723a4b80da013c715a9/e568c4d717b445c283244271ad50517d.jpg?imwidth=500&filter=packshot",""
"1775785555-6","https://www.zalando.cz/zeny/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=zeny+vsechno","","","","","","","","","janina_nagel_","Sledovat","","","","https://img01.ztat.net/outfit/85113df79810403a9d86e6b01cee0336/48b7355d5e00477f840628f1cd782e5a.jpg?imwidth=600","","https://img01.ztat.net/creator/7e3b9e32f91ed1f67075b930ba176525/efcfb53e6c6b42989c2f46f14c81d738.jpg?imwidth=80"
"1775785555-7","https://www.zalando.cz/zeny/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=zeny+vsechno","","Carhartt WIP","CASSEL - Košilová halenka  - white/blech","1 598,00 Kč","2 130,00 Kč","-25%","","heart_outlined","","","Výhodná Nabídka","Standardní cena:","","","https://img01.ztat.net/article/spp-media-p1/2070d88e037c4523ae5426bfd8a52b99/aefaca4d43c04c7e9b9253f5b7251927.jpg?imwidth=500",""
"1775785555-8","https://www.zalando.cz/zeny/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=zeny+vsechno","","Carhartt WIP","JANET LINER - Fleecová bunda - black","3 035,00 Kč","3 570,00 Kč","-15%","","heart_outlined","","","Výhodná Nabídka","Standardní cena:","","","https://img01.ztat.net/article/spp-media-p1/1923074a2b744d659c18c6aa0004bbca/d86f6455de1549898e30607e463e8faf.jpg?imwidth=500",""
"1775785555-9","https://www.zalando.cz/zeny/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=zeny+vsechno","","Salomon","EVASION ANKLE UNISEX 2 PACK - Sportovní ponožky - light grey/heather medium","250,00 Kč","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/804e498824684bfaa6f003b77722ba89/1314f0e4d48b4d9d8efea4e601418b3a.jpg?imwidth=500",""
"1775785555-10","https://www.zalando.cz/zeny/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=zeny+vsechno","","Salomon","EVASION ANKLE UNISEX 2 PACK - Sportovní ponožky - brown","247,00 Kč","290,00 Kč","-15%","","heart_outlined","","","Výhodná Nabídka","Původně:","","","https://img01.ztat.net/article/spp-media-p1/5e6ab7a9d59349c69b8df1f2874524fa/99e1ab6e4ca049afad18afc89447e060.jpg?imwidth=500&filter=packshot",""
"1775785555-11","https://www.zalando.cz/zeny/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=zeny+vsechno","","Carhartt WIP","MICHIGAN COAT DEARBORN - Lehká bunda - hamilton brown/tobacco","3 950,00 Kč","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/44d43ef56bd9466dbab6bdac90e8ac8a/9bbc4b837daa40d0a8bb0d6509fbcb04.jpg?imwidth=500",""
"1775785555-12","https://www.zalando.cz/zeny/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=zeny+vsechno","","Salomon Sportstyle","RX SLIDE 3.0 UNISEX - Dřeváky - urban chic/lunar rock/black","2 000,00 Kč","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/93d412367964484eb8281849f725b48a/651ddccd029143e8ad1ef0d5b257bedf.jpg?imwidth=500&filter=packshot",""
"1775785555-13","https://www.zalando.cz/zeny/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=zeny+vsechno","","Carhartt WIP","EZRA - Top s dlouhým rukávem - black/wax","1 290,00 Kč","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/002a433eca314249aa318e8f611b1a01/dd7ca58fc6444676bf2e887eca16cbc5.jpg?imwidth=500",""
"1775785555-14","https://www.zalando.cz/zeny/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=zeny+vsechno","","Salomon","ACTIVE SKIN UNISEX - Turistický ruksak s hydrovakem - black/metal","2 490,00 Kč","","","Ideální pár","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/c9a19d377b084540b646ec8c7a058260/40c66c7c87f647eabad590b17b361487.jpg?imwidth=500&filter=packshot",""
"1775785555-15","https://www.zalando.cz/zeny/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=zeny+vsechno","","Carhartt WIP","BELMAR JACKET SMITH - Džínová bunda - blue  rinsed","3 950,00 Kč","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/a44add3c9e5b4b57b9fef89261c323d5/03495a213fac41c49edd313002e8b447.jpg?imwidth=500",""
"1775785555-16","https://www.zalando.cz/zeny/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=zeny+vsechno","","Carhartt WIP","KICKFLIP UNISEX - Turistický batoh - black","2 350,00 Kč","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/811a984e7e3b4be982ba5b9270244513/f389474eb35f4c7c92013c6c811e577f.jpg?imwidth=500&filter=packshot",""
