web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,image,image2,image3
"1775785052-1","https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno","","Carhartt WIP","DETROIT - Lehká bunda - black","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/c219e0279fb542c58dedbe63c499b1f6/af4e071bd6a74dfda23ae90e627acf76.jpg?imwidth=500",""
"1775785052-2","https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno","","Carhartt WIP","CHASE - Jednoduché tričko - leaf/gold-coloured","891,00 Kč","990,00 Kč","-10%","heart_outlined","","","Standardní cena:","Výhodná Nabídka","","","https://img01.ztat.net/article/spp-media-p1/5dfc72228c994036b72b8a12a925cb95/2c3b3933349d45019ad1bbae04351377.jpg?imwidth=500",""
"1775785052-3","https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno","","Carhartt WIP","ESSENTIALS BAG SMALL UNISEX - Taška s příčným popruhem - black","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/bd19d9ae87c04f4aab52bb9adad9b415/a77b31d845e149358ed1ac40e7be65f4.jpg?imwidth=500&filter=packshot",""
"1775785052-4","https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno","","Salomon","SOFT FLASK 500ML/17OZ UNISEX - Sportovní lahev - clear blue","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/983a798566f540d0a4bb6800e23d352c/a46fbbcb990a41aaa56dad6c480a51f3.jpg?imwidth=500&filter=packshot",""
"1775785052-5","https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno","","Carhartt WIP","CLIP BELT CHROME UNISEX - Pásek - black","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/089fd2782baa4a5999d0340eca51d249/27262520a2e543fcac9d313db684a7f2.jpg?imwidth=500&filter=packshot",""
"1775785052-6","https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno","","","","","","","","jonasabrahamssons","Sledovat","","","","https://img01.ztat.net/outfit/c55e219cdfed42d09fda13f800af6b48/9143c52b4ecd496cb777e0de8ef037bf.jpg?imwidth=600","","https://img01.ztat.net/creator/9e333bfef4cc80e549a497b20cac8665/04f80fc7b45a47dd96b1a3dad956810d.jpg?imwidth=80"
"1775785052-7","https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno","","Carhartt WIP","DETROIT - Lehká bunda - hamilton brown/tobacco rinsed","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/abfac3f0e0e74a9bad090897f8ae8ae7/e6fce1fc5910472f9fb82ff99b27a5f0.jpg?imwidth=500",""
"1775785052-8","https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno","","Carhartt WIP","BASE  - Jednoduché tričko - white","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/2739e7c6cc184a4d87d9e076285f5a07/b032cbe617704b08af26a0d3789566c3.jpg?imwidth=500",""
"1775785052-9","https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno","","Patagonia","P-6 LOGO RESPONSIBILI-TEE - Triko s potiskem - white","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/edfc2beb3b9a3238a3b1a8a4d95c0eee/b34ce4a76f594b899e9fb729c3f56e1e.jpg?imwidth=500",""
"1775785052-10","https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno","","Carhartt WIP","Polotričko - delray blue","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/e59819f5733f4f96b86a985477ab4957/c2fbee911e0b4907a884ace227c2a1f8.jpg?imwidth=500",""
"1775785052-11","https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno","","Carhartt WIP","MALDEN SHIRT - Košile - blue","1 793,00 Kč","2 380,00 Kč","-25%","heart_outlined","","","Standardní cena:","Výhodná Nabídka","","","https://img01.ztat.net/article/spp-media-p1/c4ccd28285464d3a9230e35f93b70bab/a231205b9b2b44e6ac29465d70ec8dbf.jpg?imwidth=500",""
"1775785052-12","https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno","","Carhartt WIP","BRANDON PANT SMITH - Baggy džíny - blue  worn used wash","3 051,00 Kč","3 390,00 Kč","-10%","heart_outlined","","","Standardní cena:","Výhodná Nabídka","","","https://img01.ztat.net/article/spp-media-p1/ef8849ce56c74290a1a0d278b9bdaa16/bfbc52e003654efaa4bdd894c17ba8b2.jpg?imwidth=500",""
"1775785052-13","https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno","","Carhartt WIP","DETROIT JACKET - Džínová bunda - blue/dusty brown","","","","heart_outlined","","","","Novinka","","","https://img01.ztat.net/article/spp-media-p1/2cf30fd2f44b49cc84e829964b1def96/590f48fa0e6d4548b7cecbdbdde76cb5.jpg?imwidth=500",""
"1775785052-14","https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno","","Carhartt WIP","LOGO UNISEX - Kšiltovka - hamilton brown","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/535a428035cb4bc3b7819dc1fb27f55a/3e4d57c9267f42558ead31b32ecb0634.jpg?imwidth=500&filter=packshot",""
"1775785052-15","https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno","","Carhartt WIP","POCKET - Jednoduché tričko - black","","","","heart_outlined","","","","","","","https://img01.ztat.net/article/spp-media-p1/402de887560847f18dcf18f91b762af5/ea52e152f7114389919f25ea2e4ced68.jpg?imwidth=500",""
