product_name,brand,scraped_brand,price_czk,discounted_price_czk,is_discounted,discount_pct,url,competitor,scraped_at
DETROIT - Light jacket - black,Carhartt WIP,Carhartt WIP,,,False,,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
CHASE - Simple T-shirt - leaf/gold-coloured,Carhartt WIP,Carhartt WIP,990.0,891.0,True,10.0,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
ESSENTIALS BAG SMALL UNISEX - Bag with cross strap - black,Carhartt WIP,Carhartt WIP,,,False,,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
SOFT FLASK 500ML/17OZ UNISEX - Sports bottle - clear blue,Salomon,Salomon,,,False,,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
CLIP BELT CHROME UNISEX - Belt - black,Carhartt WIP,Carhartt WIP,,,False,,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
DETROIT - Light jacket - hamilton brown/tobacco rinsed,Carhartt WIP,Carhartt WIP,,,False,,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
BASE - Simple T-shirt - white,Carhartt WIP,Carhartt WIP,,,False,,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
P-6 LOGO RESPONSIBILI-TEE - T-shirt with print - white,Patagonia,Patagonia,,,False,,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
Polo shirt - delray blue,Carhartt WIP,Carhartt WIP,,,False,,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
MALDEN SHIRT - Shirt - blue,Carhartt WIP,Carhartt WIP,2380.0,1793.0,True,24.7,https://www.zalando.cz/muzi/salomon.banu-goecmen.carhartt.fjaellraeven.herschel.organic-basics.patagonia.thinking-mu/?q=muzi+vsechno,zalando,2026-04-10T01:59:46.017270+00:00
