product_id,url,category,category_path,name,brand,current_price,original_price,discount_pct,sizes_in_stock,colors,sustainability_labels,promo_tags,image_urls,scraped_at
sal041,https://www.freshlabels.cz/en/products/salomon-xt-6-gore-tex-sal041/,shoes,Shoes > Sneakers,XT-6 Gore-Tex,Salomon,4990.0,4990.0,0.0,,Black,,free shipping|new,https://www.freshlabels.cz/public/content-images/thumbs/shared/product/fit-w300-h381/vrstva-3salomon-04.jpg,2026-04-04T21:32:47.692842+00:00
blu007k,https://www.freshlabels.cz/en/products/blundstone-510-blu007k/,shoes,Shoes > Chelsea,510,Blundstone,4070.0,4790.0,15.0,,Black,,discount|free shipping,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/595584-krivky-1bluntstone-6.jpg",2026-04-04T21:32:47.692842+00:00
kee030k,https://www.freshlabels.cz/en/products/keen-seek-women-kee030k/,shoes,Shoes > Sneakers,Seek Women,Keen,4499.0,4499.0,0.0,,Black,,-extra 10%|free shipping|new,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/667912-kee030k-6.jpg",2026-04-04T21:32:47.692842+00:00
blu003k,https://www.freshlabels.cz/en/products/blundstone-1306-blu003k/,shoes,Shoes > Chelsea,1306,Blundstone,4990.0,4990.0,0.0,,Brown,,free shipping,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/595573-vyvazeni-barev-1bluntstone-1.jpg",2026-04-04T21:32:47.692842+00:00
blu035,https://www.freshlabels.cz/en/products/blundstone-1308-blu035/,shoes,Shoes > Chelsea,1308,Blundstone,4240.0,4990.0,15.0,,Grey,,discount|free shipping,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/661172-vrstva-1blunt.jpg",2026-04-04T21:32:47.692842+00:00
kee020,https://www.freshlabels.cz/en/products/keen-jasper-men-kee020/,shoes,Shoes,Jasper Men,Keen,3290.0,3290.0,0.0,,Beige,,free shipping|new,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/641689-vrstva-49keen.jpg",2026-04-04T21:32:47.692842+00:00
kee032k,https://www.freshlabels.cz/en/products/keen-roam-women-kee032k/,shoes,Shoes > Sneakers,Roam Women,Keen,3799.0,3799.0,0.0,,Violet,,free shipping|new,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/667899-kee032k-5.jpg",2026-04-04T21:32:47.692842+00:00
kee031k,https://www.freshlabels.cz/en/products/keen-roam-men-kee031k/,shoes,Shoes > Sneakers,Roam Men,Keen,3799.0,3799.0,0.0,,Black,,-extra 10%|free shipping|new,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/667891-kee031k-4.jpg",2026-04-04T21:32:47.692842+00:00
blu009k,https://www.freshlabels.cz/en/products/blundstone-558-blu009k/,shoes,Shoes > Chelsea,558,Blundstone,4990.0,4990.0,0.0,,Black,,free shipping,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/595585-krivky-1bluntstone-7.jpg",2026-04-04T21:32:47.692842+00:00
sal009,https://www.freshlabels.cz/en/products/salomon-xt-4-og-sal009/,shoes,Shoes > Sneakers,XT-4 OG,Salomon,4590.0,4590.0,0.0,,Black,,bestseller|free shipping,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/584880-vrstva-29salomon-03.jpg",2026-04-04T21:32:47.692842+00:00
kee029k,https://www.freshlabels.cz/en/products/keen-seek-men-kee029k/,shoes,Shoes > Sneakers,Seek Men,Keen,4499.0,4499.0,0.0,,Red,,-extra 10%|free shipping|new,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/667905-kee029k-5.jpg",2026-04-04T21:32:47.692842+00:00
sal002,https://www.freshlabels.cz/en/products/salomon-xt-6-sal002/,shoes,Shoes > Sneakers,XT-6,Salomon,4390.0,4390.0,0.0,,Black,,free shipping,https://www.freshlabels.cz/public/content-images/thumbs/shared/product/fit-w300-h381/vrstva-6salomon-04.jpg,2026-04-04T21:32:47.692842+00:00
bir532,https://www.freshlabels.cz/en/products/birkenstock-jackson-20-bir532/,shoes,Shoes,Jackson 2.0,Birkenstock,4580.0,5390.0,15.0,,Beige,,discount|free shipping,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/641707-vrstva-12birkeny-1-641707.jpg",2026-04-04T21:32:47.692842+00:00
kee033,https://www.freshlabels.cz/en/products/keen-jasper-zionic-men-kee033/,shoes,Shoes,Jasper Zionic Men,Keen,3990.0,3990.0,0.0,,Black,,-extra 10%|free shipping|new,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/667917-kee033-4.jpg",2026-04-04T21:32:47.692842+00:00
kee005,https://www.freshlabels.cz/en/products/keen-uneek-women-kee005/,shoes,Shoes > Slippers,Uneek Women,Keen,2990.0,2990.0,0.0,,White,,free shipping|new,https://www.freshlabels.cz/public/content-images/thumbs/shared/product/fit-w300-h381/vrstva-23keen-1-5.jpg,2026-04-04T21:32:47.692842+00:00
sal028,https://www.freshlabels.cz/en/products/salomon-xt-6-gore-tex-sal028/,shoes,Shoes > Sneakers,XT-6 Gore-Tex,Salomon,4240.0,4990.0,15.0,,Beige,,-extra 10%|discount|free shipping,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/665448-vrstva-2salomon-3-665448.jpg",2026-04-04T21:32:47.692842+00:00
kee025,https://www.freshlabels.cz/en/products/keen-jasper-zionic-men-kee025/,shoes,Shoes,Jasper Zionic Men,Keen,3990.0,3990.0,0.0,,Black,,-extra 10%|free shipping|new,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/666877-vrstva-18keen-1.jpg",2026-04-04T21:32:47.692842+00:00
blu005k,https://www.freshlabels.cz/en/products/blundstone-500-blu005k/,shoes,Shoes > Chelsea,500,Blundstone,4070.0,4790.0,15.0,,Brown,,discount|free shipping,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/595583-vyvazeni-barev-1bluntstone-5.jpg",2026-04-04T21:32:47.692842+00:00
blu002k,https://www.freshlabels.cz/en/products/blundstone-63-blu002k/,shoes,Shoes > Chelsea,63,Blundstone,4070.0,4790.0,15.0,,Black,,discount|free shipping,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/602799-063blndstn-1.jpg",2026-04-04T21:32:47.692842+00:00
kee024,https://www.freshlabels.cz/en/products/keen-jasper-women-kee024/,shoes,Shoes > Sneakers,Jasper Women,Keen,3290.0,3290.0,0.0,,Black,,free shipping|new,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/666870-vrstva-11keen-1-666870.jpg",2026-04-04T21:32:47.692842+00:00
sal034,https://www.freshlabels.cz/en/products/salomon-xt-6-sal034/,shoes,Shoes > Sneakers,XT-6,Salomon,4390.0,4390.0,0.0,,White,,free shipping,https://www.freshlabels.cz/public/content-images/thumbs/shared/product/fit-w300-h381/vrstva-15boty-26.jpg,2026-04-04T21:32:47.692842+00:00
kee022,https://www.freshlabels.cz/en/products/keen-uneek-women-kee022/,shoes,Shoes > Slippers,Uneek Women,Keen,2540.0,2990.0,15.1,,Beige,,discount|free shipping,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/657652-629602-vrstva-1keen-1-629602.jpg",2026-04-04T21:32:47.692842+00:00
sal135,https://www.freshlabels.cz/en/products/salomon-rx-marie-jeanne-sal135/,shoes,Shoes,RX Marie-Jeanne,Salomon,3190.0,3190.0,0.0,,Black,,-extra 10%|free shipping|new,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/666460-vrstva-1salomon-666460.jpg",2026-04-04T21:32:47.692842+00:00
blu031,https://www.freshlabels.cz/en/products/blundstone-2130-blu031/,shoes,Shoes > Chelsea,2130,Blundstone,4240.0,4990.0,15.0,,Brown,,discount|free shipping,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/634253-vrstva-102-blunt.jpg",2026-04-04T21:32:47.692842+00:00
bir367,https://www.freshlabels.cz/en/products/birkenstock-arizona-bf-triples-bir367/,shoes,Shoes > Slippers,Arizona BF Triples,Birkenstock,2120.0,2490.0,14.9,,Black,,discount,https://www.freshlabels.cz/public/content-images/thumbs/shared/product/fit-w300-h381/krivky-1birken-01.jpg,2026-04-04T21:32:47.692842+00:00
kee028,https://www.freshlabels.cz/en/products/keen-ks-mino-women-kee028/,shoes,Shoes > Sneakers,KS Mino Women,Keen,3290.0,3290.0,0.0,,Beige,,free shipping|new,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/666890-vrstva-31keen-1.jpg",2026-04-04T21:32:47.692842+00:00
fu007,https://www.freshlabels.cz/en/products/fubuki-niseko-30-fu007/,shoes,Shoes > Boots,Niseko 3.0,FUBUKI,3140.0,3690.0,14.9,,Pink,,discount|free shipping,https://www.freshlabels.cz/public/content-images/thumbs/shared/product/fit-w300-h381/vrstva-18-subuki-3-5.jpg,2026-04-04T21:32:47.692842+00:00
kee034,https://www.freshlabels.cz/en/products/keen-jasper-zionic-men-kee034/,shoes,Shoes,Jasper Zionic Men,Keen,3990.0,3990.0,0.0,,Beige,,-extra 10%|free shipping|new,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/667923-kee034-3.jpg",2026-04-04T21:32:47.692842+00:00
blu015,https://www.freshlabels.cz/en/products/blundstone-2115-blu015/,shoes,Shoes > Chelsea,2115,Blundstone,3830.0,4790.0,20.0,,Black,,discount|free shipping,"https://res.cloudinary.com/freshlabels-s-r-o/image/upload/c_limit,f_auto,h_381,q_70,w_300/v1/eshop/prod/product/595576-vrstva-6bluntstone-1.jpg",2026-04-04T21:32:47.692842+00:00
